Subject,Number,Course_Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,avg_gpa
AAS,100,Intro Asian American Studies,471,1143,411,279,238,97,55,52,16,9,12,12,34,11,3.58
AAS,120,Intro to Asian Am Pop Culture,26,136,108,93,104,49,36,32,11,6,10,1,2,5,3.2
AAS,200,U.S. Race and Empire,7,7,3,1,0,2,1,0,0,0,0,0,0,0,3.71
AAS,211,Asian Americans and the Arts,1,14,7,1,0,0,0,0,0,1,0,0,0,0,3.76
AAS,215,US Citizenship Comparatively,2,18,17,11,8,12,3,4,3,2,1,2,3,1,2.99
AAS,246,Asian American Youth in Film,1,76,20,5,13,4,1,1,1,0,0,0,0,1,3.69
AAS,258,Muslims in America,7,61,46,6,0,3,0,0,0,0,0,0,0,1,3.78
AAS,287,Food and Asian Americans,9,116,6,9,5,4,3,0,0,0,0,0,1,1,3.8
AAS,315,"War, Memory, and Cinema",0,7,6,5,4,5,1,0,0,0,0,0,0,0,3.37
AAS,365,Asian American Media and Film,7,19,6,4,6,1,6,3,3,0,0,1,2,0,3.2
ABE,100,Intro Agric & Biological Engrg,0,238,0,0,98,0,0,12,0,0,6,0,3,0,3.57
ABE,141,ABE Principles: Biological,25,77,60,51,34,14,9,6,3,3,4,0,7,0,3.36
ABE,199,Water in the Global Environ,2,18,0,1,0,0,0,0,0,0,0,0,0,0,3.97
ABE,221,Agric & Biological Engrg I,0,33,0,14,13,0,2,1,0,0,0,0,0,0,3.56
ABE,222,Agric & Biological Engrg II,3,17,19,15,19,8,1,6,2,4,0,0,2,0,3.14
ABE,223,ABE Principles: Machine Syst,13,238,43,18,84,9,7,29,1,2,5,2,0,2,3.49
ABE,224,ABE Principles: Soil & Water,53,266,23,36,43,2,8,11,6,0,5,0,7,5,3.59
ABE,225,ABE Principles: Bioenvironment,9,55,29,42,62,9,3,11,1,0,2,0,5,1,3.25
