Subject,Number,Course_Title,Primary_Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,avg_prof_gpa
AAS,100,Intro Asian American Studies,"Arai, Sayuri",13,41,15,10,10,5,4,0,0,0,0,0,0,0,3.64
AAS,100,Intro Asian American Studies,"Arnaldo, Constancio",1,128,57,24,22,7,3,5,2,0,2,1,2,1,3.58
AAS,100,Intro Asian American Studies,"Atienza, Paul Michael L",6,33,5,1,6,2,2,2,2,0,0,1,1,0,3.5
AAS,100,Intro Asian American Studies,"Carter, Regina S",11,25,6,2,0,0,0,0,0,2,0,1,0,0,3.74
AAS,100,Intro Asian American Studies,"Chung, Ga Young",68,56,11,13,9,3,3,2,2,0,0,1,0,0,3.75
AAS,100,Intro Asian American Studies,"Davis, Thomas E",75,129,13,23,24,8,6,1,2,0,1,0,0,2,3.71
AAS,100,Intro Asian American Studies,"Espiritu, Augusto F",2,17,0,6,5,0,1,0,0,0,1,0,0,0,3.57
AAS,100,Intro Asian American Studies,"Kang, Yoonjung",14,10,8,5,7,3,5,5,2,2,0,3,3,0,3.0
AAS,100,Intro Asian American Studies,"Kim, Sujung",20,29,11,6,0,0,1,0,0,0,0,0,0,0,3.86
AAS,100,Intro Asian American Studies,"Kinase-Leggett, Elizabeth",28,38,22,10,22,4,2,0,0,0,0,0,4,2,3.48
AAS,100,Intro Asian American Studies,"Kwon, Soo Ah",40,20,5,0,4,1,0,0,0,0,0,0,0,0,3.9
AAS,100,Intro Asian American Studies,"Kwon, Yaejoon",16,37,29,40,19,4,6,4,0,0,0,1,2,1,3.41
AAS,100,Intro Asian American Studies,"Lee, Alexander J",34,55,11,8,10,1,2,5,2,0,0,1,3,0,3.59
AAS,100,Intro Asian American Studies,"Lee, Amy J",0,9,5,7,6,3,0,0,0,0,0,0,0,0,3.46
AAS,100,Intro Asian American Studies,"Lee, Jean Y",27,11,18,7,3,2,3,0,1,2,0,0,0,0,3.61
AAS,100,Intro Asian American Studies,"Lee, Sang S",29,84,33,26,33,11,5,12,2,1,0,1,2,1,3.45
AAS,100,Intro Asian American Studies,"Livingston, Susan B",0,44,14,6,2,1,0,0,0,1,0,0,0,0,3.78
AAS,100,Intro Asian American Studies,"Manalansan, Martin F",21,12,0,1,0,0,0,0,0,0,0,0,0,0,3.98
AAS,100,Intro Asian American Studies,"Marasigan, Cynthia L",0,6,7,6,3,4,1,0,0,0,0,0,0,1,3.27
AAS,100,Intro Asian American Studies,"Mariano, Lorena",0,11,11,4,3,3,0,1,0,0,0,0,0,0,3.54
AAS,100,Intro Asian American Studies,"Paik, Angela N",1,5,6,1,3,4,0,1,1,0,2,1,3,0,2.69
AAS,100,Intro Asian American Studies,"Peralta, Christine N",10,109,29,25,8,6,4,2,0,0,2,0,3,0,3.64
AAS,100,Intro Asian American Studies,"Pyon, Heekyong T",5,41,10,3,4,1,0,0,0,0,0,0,0,1,3.77
AAS,100,Intro Asian American Studies,"Sharif, Lila A",10,7,2,2,2,1,0,1,0,0,0,0,1,0,3.56
AAS,100,Intro Asian American Studies,"Thomas, Merin A",38,137,43,25,27,19,5,8,0,1,1,1,9,2,3.49
AAS,100,Intro Asian American Studies,"Tsou, Elda",0,5,15,9,4,1,0,0,0,0,0,0,0,0,3.52
AAS,100,Intro Asian American Studies,"Winkelmann, Marie T",2,44,25,9,2,3,2,3,0,0,3,0,1,0,3.55
AAS,120,Intro to Asian Am Pop Culture,"Arai, Sayuri",4,22,14,16,16,8,18,16,4,2,4,0,0,2,2.9
AAS,120,Intro to Asian Am Pop Culture,"Chin, Christina B",2,15,11,4,13,9,0,3,3,0,1,0,0,0,3.22
AAS,120,Intro to Asian Am Pop Culture,"Eng, Christopher A",1,15,3,2,3,1,1,0,0,0,0,0,0,1,3.54
AAS,120,Intro to Asian Am Pop Culture,"Esguerra, Maria Paz G",6,7,5,2,0,3,3,0,1,0,0,0,1,0,3.35
AAS,120,Intro to Asian Am Pop Culture,"Komaki, Ryuta",0,12,19,18,8,4,0,0,0,0,0,0,0,0,3.48
AAS,120,Intro to Asian Am Pop Culture,"Lee, Alexander J",8,13,8,18,15,7,5,8,1,1,4,0,1,1,3.02
AAS,120,Intro to Asian Am Pop Culture,"Lee, Sandra",0,29,14,11,6,4,0,0,0,0,0,0,0,0,3.64
AAS,120,Intro to Asian Am Pop Culture,"Pham, Vincent N",1,11,18,10,13,13,7,5,2,1,1,1,0,1,3.02
AAS,120,Intro to Asian Am Pop Culture,"Washington, Myra S",4,12,16,12,30,0,2,0,0,2,0,0,0,0,3.33
AAS,200,U.S. Race and Empire,"Sharif, Lila A",7,7,3,1,0,2,1,0,0,0,0,0,0,0,3.71
AAS,211,Asian Americans and the Arts,"Yang, Caroline H",1,14,7,1,0,0,0,0,0,1,0,0,0,0,3.76
AAS,215,US Citizenship Comparatively,"Cacho, Lisa M",2,18,17,11,8,12,3,4,3,2,1,2,3,1,2.99
AAS,246,Asian American Youth in Film,"Kwon, Soo Ah",1,76,20,5,13,4,1,1,1,0,0,0,0,1,3.69
AAS,258,Muslims in America,"Rana, Junaid",7,61,46,6,0,3,0,0,0,0,0,0,0,1,3.78
